nct_id,section,signal_type,label,detail,source_sentence
NCT05464810,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) performance status 0-2
NCT05467748,inclusion,ecog,ECOG 0–1,0-1,ECOG 0-1.
NCT05467748,exclusion,biomarker,EGFR positive,EGFR:positive,EGFR or ALK altered patients.
NCT05467748,exclusion,biomarker,ALK positive,ALK:positive,EGFR or ALK altered patients.
NCT05467891,inclusion,biomarker,HER2 negative,HER2:negative,"Patient has HER2-negative breast cancer defined as a negative in situ hybridization test or an IHC status of 0, 1+ or 2+. If IHC is 2+, a negative in situ hybridization (FISH, CISH, or SISH) test is required by local laboratory testing and based on the most recently analyzed tissue sample. If there is insufficient tissue from the most recently collected sample, earlier tissue may be used on a case-by-case basis if permission is granted by the sponsor investigator."
NCT05467891,inclusion,ecog,ECOG 0–1,0-1,ECOG Performance Status of 0-1 within 28 days prior to registration.
NCT05467891,inclusion,biomarker,HER2 negative,HER2:negative,"Patient has HER2-negative breast cancer defined as a negative in situ hybridization test or an IHC status of 0, 1+ or 2+. If IHC is 2+, a negative in situ hybridization (FISH, CISH, or SISH) test is required by local laboratory testing and based on the most recently analyzed tissue sample. If there is insufficient tissue from the most recently collected sample, earlier tissue may be used on a case-by-case basis if permission is granted by the sponsor investigator."
NCT05467891,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Renal ---Estimated glomerular filtration rate (eGFR): ≥ 30 mL/min/1.73m2 according to the Modification of Diet in Renal Disease (MDRD) formula
NCT05468034,inclusion,ecog,ECOG 0–2,0-2,ECOG performance status of 0-2
NCT05472792,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Human epidermal growth factor receptor 2 (HER2) - according to American Society of Clinical Oncology (ASCO)/ College of American Pathologists (CAP) guidelines (0 or 1+ following IHC staining or proven negative by in-situ hybridization \[ISH\])
NCT05482516,inclusion,ecog,ECOG 0–2,0-2,ECOG Performance Status of 0-2
NCT05482516,exclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,"Prior treatment with CD137 agonists or immune checkpoint blockade therapies, including anti-CTLA-4, anti-PD-1, and anti-PD-L1 therapeutic antibodies"
NCT05483491,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1 at screening.
NCT05488548,inclusion,ecog,ECOG 0–1,0-1,advanced MF (intermediate or high-risk) following at least one JAK inhibitor-containing regimen or unsuitable candidates for JAK inhibitor treatments. Part 3: advanced MF (intermediate or high-risk) with ≤10% blasts in peripheral blood who have not achieved an adequate response or have lost the response to a JAK inhibitor-containing regimen after being on treatment for at least 3 months. Patients who have other types of relapsed or refractory solid tumors (Part 1) or hematological malignancies (Part 2) with pathological and/or biological features suggesting a potential benefit from dual BET and CBP/p300 inhibition may be enrolled after discussion with and approval from medical monitor and sponsor. Eastern Cooperative Oncology Group (ECOG) performance status 0-1 Life expectancy ≥ 3 months Evaluable disease Adequate bone marrow function:
NCT05490472,inclusion,ecog,ECOG 0,0-0,Must have Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
NCT05491226,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,"Low tumor-infiltrating lymphocyte (TIL) score, defined as stromal TIL (sTIL) ≤40%; or node-positive; or combined positive score (CPS) \< 10 or PD-L1 tumor positivity \<1%."
NCT05493566,inclusion,prior_therapy,Treatment-naive,naive0,No prior therapy for advanced NSCLC.
NCT05493566,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) performance status 0-2.
NCT05493566,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients must have tumor PD-L1 expression of ≥1% (by 22c3 PD-L1 companion testing); patients whose PD-L1 status could not be determined are also eligible. Patients with known PD-L1 of 0% will be excluded.
NCT05493566,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients must have tumor PD-L1 expression of ≥1% (by 22c3 PD-L1 companion testing); patients whose PD-L1 status could not be determined are also eligible. Patients with known PD-L1 of 0% will be excluded.
NCT05493566,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients must have tumor PD-L1 expression of ≥1% (by 22c3 PD-L1 companion testing); patients whose PD-L1 status could not be determined are also eligible. Patients with known PD-L1 of 0% will be excluded.
NCT05493566,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients must have tumor PD-L1 expression of ≥1% (by 22c3 PD-L1 companion testing); patients whose PD-L1 status could not be determined are also eligible. Patients with known PD-L1 of 0% will be excluded.
NCT05493566,exclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Prior treatment with anti-PD-1 or anti-PD-L1 therapies or pathway-targeting agents.
NCT05493566,exclusion,biomarker,EGFR positive,EGFR:positive,"Any targetable driver mutation (e.g. ALK, EGFR exon 19 del, etc)."
NCT05493566,exclusion,biomarker,ALK positive,ALK:positive,"Any targetable driver mutation (e.g. ALK, EGFR exon 19 del, etc)."
NCT05496829,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"Within 3-years of the end of early active treatment (e.g., surgery, chemotherapy not including human epidermal growth factor receptor 2 (HER2)-directed therapy, radiation)"
NCT05498428,inclusion,biomarker,EGFR positive,EGFR:positive,"Participant must have histologically or cytologically confirmed, locally advanced or metastatic, non-small cell lung cancer (NSCLC) that is not amenable to curative therapy including surgical resection or chemoradiation. Additional Cohort specific disease requirements include: Cohorts 1, 3, 3b, 5, 6 and 7: epidermal growth factor receptor (EGFR) exon 19 deletion (Exon19del) or Exon 21 L858R mutation; Cohort 2: EGFR Exon 20ins mutation. Cohorts 1,5,and6: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohort 2: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohorts 3and3b: Participant must have progressed on or after osimertinib monotherapy as the most recent line of treatment. Osimertinib must have been administered as either the first-line treatment for locally advanced or metastatic disease or in the second-line setting after prior treatment with first- or second-generation EGFR tyrosine kinase inhibitor (TKI) as a monotherapy. Cohort 4: Participants need to currently be on an amivantamab IV Q2W regimen (1,050 mg or 1,400 mg depending on weight) for at least 8 weeks, as part of standard of care, an expanded access program, or as a rollover from a long-term extension, without any amivantamab dose reduction. Cohort 7: Participants must have progressed on or after the combination of amivantamab and lazertinib as the most recent line of treatment. The combination of amivantamab and lazertinib must have been administered as the first-line treatment for locally advanced or metastatic disease. Cohort 2, 3, 3b, and 7 only: Squamous NSCLC are excluded. EGFR mutation must have been identified as determined by Food and Drug Administration (FDA) approved or other validated test of either circulating tumor deoxyribonucleic acid (ctDNA) or tumor tissue in a clinical laboratory improvement amendments (CLIA) certified laboratory (sites in the United states \[US\]) or an accredited local laboratory (sites outside of the US). A copy of the initial test report documenting the EGFR mutation must be included in the participant records and a deidentified copy must also be submitted to the sponsor"
NCT05498428,inclusion,biomarker,EGFR positive,EGFR:positive,"Participant must have histologically or cytologically confirmed, locally advanced or metastatic, non-small cell lung cancer (NSCLC) that is not amenable to curative therapy including surgical resection or chemoradiation. Additional Cohort specific disease requirements include: Cohorts 1, 3, 3b, 5, 6 and 7: epidermal growth factor receptor (EGFR) exon 19 deletion (Exon19del) or Exon 21 L858R mutation; Cohort 2: EGFR Exon 20ins mutation. Cohorts 1,5,and6: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohort 2: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohorts 3and3b: Participant must have progressed on or after osimertinib monotherapy as the most recent line of treatment. Osimertinib must have been administered as either the first-line treatment for locally advanced or metastatic disease or in the second-line setting after prior treatment with first- or second-generation EGFR tyrosine kinase inhibitor (TKI) as a monotherapy. Cohort 4: Participants need to currently be on an amivantamab IV Q2W regimen (1,050 mg or 1,400 mg depending on weight) for at least 8 weeks, as part of standard of care, an expanded access program, or as a rollover from a long-term extension, without any amivantamab dose reduction. Cohort 7: Participants must have progressed on or after the combination of amivantamab and lazertinib as the most recent line of treatment. The combination of amivantamab and lazertinib must have been administered as the first-line treatment for locally advanced or metastatic disease. Cohort 2, 3, 3b, and 7 only: Squamous NSCLC are excluded. EGFR mutation must have been identified as determined by Food and Drug Administration (FDA) approved or other validated test of either circulating tumor deoxyribonucleic acid (ctDNA) or tumor tissue in a clinical laboratory improvement amendments (CLIA) certified laboratory (sites in the United states \[US\]) or an accredited local laboratory (sites outside of the US). A copy of the initial test report documenting the EGFR mutation must be included in the participant records and a deidentified copy must also be submitted to the sponsor"
NCT05498428,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participant must have histologically or cytologically confirmed, locally advanced or metastatic, non-small cell lung cancer (NSCLC) that is not amenable to curative therapy including surgical resection or chemoradiation. Additional Cohort specific disease requirements include: Cohorts 1, 3, 3b, 5, 6 and 7: epidermal growth factor receptor (EGFR) exon 19 deletion (Exon19del) or Exon 21 L858R mutation; Cohort 2: EGFR Exon 20ins mutation. Cohorts 1,5,and6: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohort 2: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohorts 3and3b: Participant must have progressed on or after osimertinib monotherapy as the most recent line of treatment. Osimertinib must have been administered as either the first-line treatment for locally advanced or metastatic disease or in the second-line setting after prior treatment with first- or second-generation EGFR tyrosine kinase inhibitor (TKI) as a monotherapy. Cohort 4: Participants need to currently be on an amivantamab IV Q2W regimen (1,050 mg or 1,400 mg depending on weight) for at least 8 weeks, as part of standard of care, an expanded access program, or as a rollover from a long-term extension, without any amivantamab dose reduction. Cohort 7: Participants must have progressed on or after the combination of amivantamab and lazertinib as the most recent line of treatment. The combination of amivantamab and lazertinib must have been administered as the first-line treatment for locally advanced or metastatic disease. Cohort 2, 3, 3b, and 7 only: Squamous NSCLC are excluded. EGFR mutation must have been identified as determined by Food and Drug Administration (FDA) approved or other validated test of either circulating tumor deoxyribonucleic acid (ctDNA) or tumor tissue in a clinical laboratory improvement amendments (CLIA) certified laboratory (sites in the United states \[US\]) or an accredited local laboratory (sites outside of the US). A copy of the initial test report documenting the EGFR mutation must be included in the participant records and a deidentified copy must also be submitted to the sponsor"
NCT05498428,inclusion,biomarker,EGFR positive,EGFR:positive,"Participant must have histologically or cytologically confirmed, locally advanced or metastatic, non-small cell lung cancer (NSCLC) that is not amenable to curative therapy including surgical resection or chemoradiation. Additional Cohort specific disease requirements include: Cohorts 1, 3, 3b, 5, 6 and 7: epidermal growth factor receptor (EGFR) exon 19 deletion (Exon19del) or Exon 21 L858R mutation; Cohort 2: EGFR Exon 20ins mutation. Cohorts 1,5,and6: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohort 2: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohorts 3and3b: Participant must have progressed on or after osimertinib monotherapy as the most recent line of treatment. Osimertinib must have been administered as either the first-line treatment for locally advanced or metastatic disease or in the second-line setting after prior treatment with first- or second-generation EGFR tyrosine kinase inhibitor (TKI) as a monotherapy. Cohort 4: Participants need to currently be on an amivantamab IV Q2W regimen (1,050 mg or 1,400 mg depending on weight) for at least 8 weeks, as part of standard of care, an expanded access program, or as a rollover from a long-term extension, without any amivantamab dose reduction. Cohort 7: Participants must have progressed on or after the combination of amivantamab and lazertinib as the most recent line of treatment. The combination of amivantamab and lazertinib must have been administered as the first-line treatment for locally advanced or metastatic disease. Cohort 2, 3, 3b, and 7 only: Squamous NSCLC are excluded. EGFR mutation must have been identified as determined by Food and Drug Administration (FDA) approved or other validated test of either circulating tumor deoxyribonucleic acid (ctDNA) or tumor tissue in a clinical laboratory improvement amendments (CLIA) certified laboratory (sites in the United states \[US\]) or an accredited local laboratory (sites outside of the US). A copy of the initial test report documenting the EGFR mutation must be included in the participant records and a deidentified copy must also be submitted to the sponsor"
NCT05498428,inclusion,biomarker,EGFR positive,EGFR:positive,"Participant must have histologically or cytologically confirmed, locally advanced or metastatic, non-small cell lung cancer (NSCLC) that is not amenable to curative therapy including surgical resection or chemoradiation. Additional Cohort specific disease requirements include: Cohorts 1, 3, 3b, 5, 6 and 7: epidermal growth factor receptor (EGFR) exon 19 deletion (Exon19del) or Exon 21 L858R mutation; Cohort 2: EGFR Exon 20ins mutation. Cohorts 1,5,and6: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohort 2: Participant should not have received any prior systemic therapy for locally advanced or metastatic NSCLC. Cohorts 3and3b: Participant must have progressed on or after osimertinib monotherapy as the most recent line of treatment. Osimertinib must have been administered as either the first-line treatment for locally advanced or metastatic disease or in the second-line setting after prior treatment with first- or second-generation EGFR tyrosine kinase inhibitor (TKI) as a monotherapy. Cohort 4: Participants need to currently be on an amivantamab IV Q2W regimen (1,050 mg or 1,400 mg depending on weight) for at least 8 weeks, as part of standard of care, an expanded access program, or as a rollover from a long-term extension, without any amivantamab dose reduction. Cohort 7: Participants must have progressed on or after the combination of amivantamab and lazertinib as the most recent line of treatment. The combination of amivantamab and lazertinib must have been administered as the first-line treatment for locally advanced or metastatic disease. Cohort 2, 3, 3b, and 7 only: Squamous NSCLC are excluded. EGFR mutation must have been identified as determined by Food and Drug Administration (FDA) approved or other validated test of either circulating tumor deoxyribonucleic acid (ctDNA) or tumor tissue in a clinical laboratory improvement amendments (CLIA) certified laboratory (sites in the United states \[US\]) or an accredited local laboratory (sites outside of the US). A copy of the initial test report documenting the EGFR mutation must be included in the participant records and a deidentified copy must also be submitted to the sponsor"
NCT05498428,inclusion,ecog,ECOG 0,0-0,Participant must have eastern cooperative oncology group (ECOG) status of 0 or 1
NCT05501665,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Available tumor material (\< 6 months old) adequate for confirmation of programmed cell death 1 ligand 1 (PD-L1) expression per local standard of care testing
NCT05501665,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) performance status of 0-2
NCT05501665,exclusion,biomarker,KRAS mentioned,KRAS:unspecified,"Confirmed candidate (per study physician) for alternative systemic therapy if preferred by treating physician (i.e. mEGFR, ALK, KRAS G12C or ROS1 mutations). Testing not required for enrollment"
NCT05501665,exclusion,biomarker,ALK mentioned,ALK:unspecified,"Confirmed candidate (per study physician) for alternative systemic therapy if preferred by treating physician (i.e. mEGFR, ALK, KRAS G12C or ROS1 mutations). Testing not required for enrollment"
NCT05501665,exclusion,biomarker,ROS1 mentioned,ROS1:unspecified,"Confirmed candidate (per study physician) for alternative systemic therapy if preferred by treating physician (i.e. mEGFR, ALK, KRAS G12C or ROS1 mutations). Testing not required for enrollment"
NCT05501704,inclusion,biomarker,HER2 positive,HER2:positive,Breast cancer must be hormone receptor-positive and HER2-negative according to definition below assessed by local pathology.
NCT05501704,inclusion,biomarker,HER2 negative,HER2:negative,HER2-negative is defined per the current American Society of Clinical Oncology/College of American Pathologists Clinical Practice Guideline (113).
NCT05501704,inclusion,biomarker,HER2 positive,HER2:positive,Patients with multifocal or multicentric disease are eligible if the treating investigator has determined the patient should be treated as ER-positive and HER2-negative.
NCT05501704,inclusion,biomarker,HER2 positive,HER2:positive,Bilateral breast cancers are allowed if the treating investigator has determined the patient should be treated as ER-positive and HER2-negative.
NCT05501704,inclusion,ecog,ECOG 0–2,0-2,ECOG performance status ≤ 2.
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,Documentation of BRAF gene fusion in tumor and/or blood detected by an analytically validated test by DNA sequencing or RNA (transcriptome) sequencing.
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,Documented BRAF V600E mutation in tumor and/or liquid biopsy detected by an analytically validated test at CLIA or CLIA-equivalent laboratory approved by sponsor or sponsor-designated central test.
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,"Histologic diagnosis of a rare BRAF V600E-mutated solid tumor that is unresectable, locally advanced or metastatic."
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,Documented BRAF V600E mutation in tumor and/or liquid biopsy detected by an analytically validated test.
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,Histologic diagnosis of a solid tumor harboring a BRAF V600E mutation and not eligible for other subprotocols.
NCT05503797,inclusion,biomarker,BRAF positive,BRAF:positive,Evidence of BRAF V600E mutation in tumor and/or blood detected by genomic tests.
NCT05503797,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,Prior treatment with RAF/BRAF inhibitors active for Class 2 BRAF alterations for advanced unresectable or metastatic disease.
NCT05503797,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,Prior treatment with RAF/BRAF inhibitors active for Class 2 BRAF alterations for advanced unresectable or metastatic disease.
NCT05503797,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,Tyrosine kinase inhibitor(s) and/or targeted therapies are allowed (other than BRAF/MAPK pathway inhibitors per Exclusion Criteria 3 and 4) and will be restricted to no more than the number of lines of therapy that are consistent with standard treatment guidelines.
NCT05503797,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,"Prior treatment with BRAF, ERK, and/or MEK inhibitor(s)."
NCT05503797,exclusion,biomarker,BRAF positive,BRAF:positive,"Diagnosis of BRAF V600E-mutated cutaneous melanoma, papillary thyroid cancer, or NSCLC."
NCT05503797,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,"Prior treatment with BRAF, ERK, and/or MEK inhibitor(s), unless otherwise specified for specific tumor types (i.e. low grade serous or borderline ovarian cancer)."
NCT05504707,inclusion,biomarker,HER2 negative,HER2:negative,A diagnosis of HER2-negative breast cancer.
NCT05504707,inclusion,ecog,ECOG 0,0-0,ECOG performance status 0 or 1.
NCT05504707,exclusion,biomarker,HER2 mentioned,HER2:unspecified,Previously treated with any form HER2- or HER3-primed DC1 therapy.
NCT05508906,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"ER+/HER2- disease, as determined in the most recently obtained archival tumor tissue sample from a metastatic site, using locally accepted criteria by the local pathology report."
NCT05508906,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 or 1.
NCT05515978,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Estimated glomerular filtration rate (eGFR) of \< 50 ml/minute (calculated according to the formula utilized within Epic).
NCT05519449,exclusion,prior_therapy,=1 prior line,==1,For Monotherapy Expansion Part b: Prior receipt of any treatment other than an anti-androgen therapy or prior receipt of a taxane containing regimen or more than 1 prior line of therapy for mCRPC
NCT05519449,exclusion,prior_therapy,=1 prior line,==1,For Monotherapy Part d: More than 1 prior line of therapy for mCRPC or prior receipt of any treatment other than an anti-androgen therapy and PARP inhibitor for mCRPC or prior receipt of a taxane in the mCRPC setting
NCT05519449,exclusion,prior_therapy,=1 prior line,==1,For Combination expansion: More than 1 prior line of therapy for mCRPC or prior receipt of any treatment other than a taxane for mCRPC or prior receipt of Darolutamide or prior receipt of a taxane for HSPC
NCT05523947,inclusion,biomarker,HER2 positive,HER2:positive,Pathologically confirmed HER2-positive
NCT05523947,inclusion,biomarker,HER2 positive,HER2:positive,Cohort 1: Pathologically confirmed HER2-positive biliary tract cancer
NCT05523947,inclusion,biomarker,HER2 positive,HER2:positive,Cohort 2: Pathologically confirmed HER2-positive metastatic solid tumor malignancy other than breast and gastric or gastroesophageal junction adenocarcinoma and biliary tract cancer
NCT05524584,inclusion,ecog,ECOG 0–2,0-2,ECOG performance status 0-2
NCT05528133,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"To fulfill the requirement of HER2- disease, a breast cancer must not demonstrate, at initial diagnosis or upon subsequent biopsy, overexpression of HER2 by either IHC or in-situ hybridization as defined by the ASCO / CAP Guidelines"
NCT05528133,inclusion,biomarker,HER2 positive,HER2:positive,"To fulfill the requirement of HER2- disease, a breast cancer must not demonstrate, at initial diagnosis or upon subsequent biopsy, overexpression of HER2 by either IHC or in-situ hybridization as defined by the ASCO / CAP Guidelines"
NCT05530655,inclusion,ecog,ECOG 0–2,0-2,Have ECOG performance status of 0 to 2 within 180 days prior to enrollment
NCT05534438,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"ER+/HER2-, defined as \>5% ER+ staining"
NCT05534438,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"HER2+ (regardless of ER status), including HER2-low and high expressors"
NCT05534438,inclusion,biomarker,HER2 negative,HER2:negative,"HER2+ (regardless of ER status), including HER2-low and high expressors"
NCT05534438,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status 0-1
NCT05537922,inclusion,ecog,ECOG 2,2-2,Eastern Cooperative Oncology Group (ECOG) performance status \</= 2.
NCT05538130,inclusion,biomarker,BRAF positive,BRAF:positive,Evidence of a BRAF V600 mutation
NCT05556473,inclusion,ecog,ECOG 2,2-2,ECOG performance status of 2 or better.
NCT05556473,inclusion,ecog,ECOG 2,2-2,ECOG performance status of 2 or better. Inclusion Criteria specific for Rectal tumors:
NCT05556473,inclusion,ecog,ECOG 2,2-2,ECOG performance status of 2 or better.
NCT05559164,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Scheduled to receive neoadjuvant/adjuvant HER2 targeted therapy
NCT05559164,inclusion,ecog,ECOG 0–2,0-2,ECOG 0-2
NCT05559164,inclusion,biomarker,HER2 mentioned,HER2:unspecified,No prior history of treatment with HER2 targeted therapy or anthracyclines based chemotherapy
NCT05564377,inclusion,ecog,ECOG 0–2,0-2,Patient must have an Eastern Cooperative Oncology Group (ECOG) performance status between 0-2 OR patient must have Lansky performance status of \>= 50% or Karnofsky performance status of \>= 50%
NCT05568550,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status 0 to 1
NCT05570253,inclusion,biomarker,HER2 negative,HER2:negative,"Male or female with histologically and/or cytologically confirmed diagnosis of triple-negative metastatic breast cancer defined as estrogen and progesterone receptor staining ≤10%; and HER2-negative defined as IHC 0 to 1+ at enrolling institution (note: if IHC is equivocal, non-amplified status by FISH is acceptable)"
NCT05570253,inclusion,prior_therapy,≤2 prior lines,<=2,"Advanced (local regionally recurrent, not amenable to curative therapy or surgery) or metastatic stage with up to 2 prior lines of therapy in the advanced or metastatic setting"
NCT05570253,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Oncology Group Performance Status (ECOG-PS) ≤1.
NCT05570825,inclusion,biomarker,EGFR positive,EGFR:positive,"Pathologically or cytologically confirmed non-small cell lung cancer with no known oncogenic EGFR mutation, ALK rearrangement, ROS1 rearrangement or RET rearrangement"
NCT05570825,inclusion,biomarker,ALK positive,ALK:positive,"Pathologically or cytologically confirmed non-small cell lung cancer with no known oncogenic EGFR mutation, ALK rearrangement, ROS1 rearrangement or RET rearrangement"
NCT05570825,inclusion,biomarker,ROS1 positive,ROS1:positive,"Pathologically or cytologically confirmed non-small cell lung cancer with no known oncogenic EGFR mutation, ALK rearrangement, ROS1 rearrangement or RET rearrangement"
NCT05570825,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Tumoral PD-L1 expression \>=1% by any Clinical Laboratory Improvement Act (CLIA)-certified assay
NCT05570825,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or 1. Subjects must have ECOG PS 0 or 1 at the time of informed consent and at the time of treatment initiation
NCT05570825,exclusion,biomarker,MET positive,MET:positive,For patients with NSCLC harboring an oncogenic alteration other than listed may have received prior small molecule inhibitor therapy (e.g. MET inhibitor for MET exon 14 mutated NSCLC). A wash-out period of at least 5 half-lives is required prior to start of study treatment
NCT05570825,exclusion,biomarker,MET positive,MET:positive,For patients with NSCLC harboring an oncogenic alteration other than listed may have received prior small molecule inhibitor therapy (e.g. MET inhibitor for MET exon 14 mutated NSCLC). A wash-out period of at least 5 half-lives is required prior to start of study treatment
NCT05573126,inclusion,biomarker,HER2 negative,HER2:negative,"HER2-negative breast cancer, defined as negative by fluorescence in situ hybridisation (FISH) or IHC score of 0 or 1+. If IHC is equivocal at 2+, a negative FISH test (HER2/Amplification of the centromeric region of chromosome 17)CEP17 ratio of \<2.0) is required"
NCT05573126,inclusion,biomarker,HER2 negative,HER2:negative,"HER2-negative breast cancer, defined as negative by fluorescence in situ hybridisation (FISH) or IHC score of 0 or 1+. If IHC is equivocal at 2+, a negative FISH test (HER2/Amplification of the centromeric region of chromosome 17)CEP17 ratio of \<2.0) is required"
NCT05573126,inclusion,prior_therapy,≤2 prior lines,<=2,"Module B arm 1: patients who have progressed on ≤ 2 prior lines of endocrine therapy, including a prior CDK4/6 inhibitor."
NCT05573126,inclusion,prior_therapy,≤2 prior lines,<=2,"Module B arm 2: patients who have progressed on ≤ 2 prior lines of endocrine therapy in advanced/metastatic setting, including prior CDK4/6 inhibitor"
NCT05579366,inclusion,biomarker,HER2 positive,HER2:positive,"Histologically or cytologically confirmed metastatic or unresectable solid malignancy including ovarian cancer (must have epithelial ovarian cancer, primary peritoneal cancer, or fallopian tube cancer), endometrial cancer, non-small cell lung cancer (Part A), EGFR-mutated NSCLC (Part B), breast cancer (hormone receptor positive, HER2-negative and triple-negative) (Part A), mesothelioma or cervical cancer (Part B)."
NCT05579366,inclusion,biomarker,EGFR positive,EGFR:positive,"Histologically or cytologically confirmed metastatic or unresectable solid malignancy including ovarian cancer (must have epithelial ovarian cancer, primary peritoneal cancer, or fallopian tube cancer), endometrial cancer, non-small cell lung cancer (Part A), EGFR-mutated NSCLC (Part B), breast cancer (hormone receptor positive, HER2-negative and triple-negative) (Part A), mesothelioma or cervical cancer (Part B)."
NCT05579366,inclusion,prior_therapy,≤3 prior lines,<=3,Participants must have received up to 3 prior lines of therapy. Participants may have had up to to 4 prior lines of therapy are allowed if MIRV is locally approved and was used as the last line of therapy. Participants must have progressed radiographically on or after their most recent line of therapy.
NCT05579366,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,Participants with known or suspected deleterious germline or somatic BRCA mutations (as determined by Food and Drug Administration \[FDA\]-approved test in a Clinical Laboratory Improvement Amendments \[CLIA\]-certified laboratory; or locally approved equivalent) and who achieved a complete or partial response to platinum-based chemotherapy must have been treated with a poly ADP-ribose polymerase (PARP) inhibitor as maintenance treatment.
NCT05579366,inclusion,prior_therapy,=3 prior lines,==3,Participants must have received 1 to 3 prior lines of therapy. Cohort D2:
NCT05579366,inclusion,prior_therapy,≤2 prior lines,<=2,Participants with primary platinum-refractory ovarian cancer must have received ≤2 prior lines of therapy. Primary platinum-refractory ovarian cancer is defined as a lack of response or by progression within 91 days after completing front-line platinum containing therapy.
NCT05579366,inclusion,prior_therapy,≤4 prior lines,<=4,"Participants must have received 1 to 3 prior lines of therapy for platinum-resistant ovarian cancer (PROC), and up to 4 prior lines of therapy for platinum-sensitive ovarian cancer (PSOC). Prior treatments may have included bevacizumab, PARP inhibitor, and MIRV."
NCT05579366,inclusion,prior_therapy,=3 prior lines,==3,"Participants must have received 1 to 3 prior lines of therapy, and must have progressed radiographically on or after their most recent line of therapy:"
NCT05589818,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients must not have received any PD-1 or PD-L1 inhibitor
NCT05589818,inclusion,ecog,ECOG 2,2-2,ECOG performance status of 2 or 3 at the time of consent and on the first day of therapy
NCT05589818,inclusion,biomarker,EGFR positive,EGFR:positive,"Patients may not have a molecular alteration in ALK, ROS1, EGFR, BRAF, NTRK, RET, MET, or any other gene for which first-line FDA approved targeted therapy exists."
NCT05589818,inclusion,biomarker,ALK positive,ALK:positive,"Patients may not have a molecular alteration in ALK, ROS1, EGFR, BRAF, NTRK, RET, MET, or any other gene for which first-line FDA approved targeted therapy exists."
NCT05589818,inclusion,biomarker,ROS1 positive,ROS1:positive,"Patients may not have a molecular alteration in ALK, ROS1, EGFR, BRAF, NTRK, RET, MET, or any other gene for which first-line FDA approved targeted therapy exists."
NCT05589818,inclusion,biomarker,BRAF mentioned,BRAF:unspecified,"Patients may not have a molecular alteration in ALK, ROS1, EGFR, BRAF, NTRK, RET, MET, or any other gene for which first-line FDA approved targeted therapy exists."
